const,X1,X2,X3,na1,na2,na3,na4,na5,Y
1.0,0.5055271697265918,0.5000910189797078,0.5172906353783608,0.5177396437988678,0.44115777201927636,0.504422358446766,0.2949184315213243,0.609041004391341,0.0
1.0,0.49326711226966174,0.49480423231423415,0.4929381960921743,0.4545542227907887,0.5352966899555058,0.4983474775235913,0.2957656244289594,0.3087947019438161,0.0
1.0,0.518687504739559,0.5321783072982463,0.5082894336620566,0.4161254803142686,0.6142875977470235,0.6879817530034824,0.4761239962749848,0.3307727227680265,1.0
1.0,0.4983526987917242,0.48902711116725195,0.49483273657873933,0.34133219957662436,0.6394308173787038,0.5681310938840882,0.5111449543072327,0.4166803579006739,0.0
1.0,0.4940689152619529,0.49733945264317087,0.5010923624226695,0.5220936449812658,0.2684975254963576,0.4534066990596925,0.3324877597739337,0.5375609404857451,2.0
1.0,0.48526759443725703,0.5048248016107143,0.49416040877621414,0.3314548962265341,0.548269039507688,0.32183087131016364,0.5282934567524946,0.7338218199341604,0.0
1.0,0.496695653395486,0.5117394629009651,0.5009538649561294,0.22559524980190732,0.4566465305493853,0.7783120721164726,0.5220766476599783,0.39532088861580894,1.0
1.0,0.5085889166871769,0.5049866132846759,0.49723920904617425,0.41287539596004813,0.6185170639044966,0.432082921378456,0.24864079268431843,0.39652005247514993,0.0
1.0,0.4831225654512853,0.498145363305985,0.5327934162874383,0.4715546802836353,0.30871330707179945,0.4164236246040766,0.36048719136820756,0.7567104840056965,2.0
1.0,0.5071320613734377,0.5040083841523519,0.4992504729614721,0.509421572540914,0.6258931817054886,0.7121905984037825,0.265522808891385,0.4892412032928123,2.0
1.0,0.5095259470559543,0.49265654346457155,0.5171861434923605,0.24205665507759208,0.632513204269394,0.4269525312227914,0.779952611567846,0.5484900646088735,0.0
1.0,0.4985310709440994,0.5062661940291179,0.5101839596083564,0.42940381730194016,0.4103464561685436,0.489302372103822,0.7287940966941848,0.45942957254198563,0.0
1.0,0.502393882467177,0.48673730227076734,0.49823634006274775,0.5565809416708041,0.6165165976286863,0.47946948445664417,0.5973211630278258,0.6463671525379392,0.0
