observation,beta_0,beta_1,beta_2,beta_3
1,1.0,0.5,-0.03515130473382341,1.5184675752348646
2,1.0,0.5,-0.18947160651116146,1.2306487207823782
3,1.0,0.5,-0.0623796416134631,1.0880057220783999
4,1.0,0.5,-0.3176640493937371,0.8532854028422032
5,1.0,0.5,-0.41751096357474415,1.33724656990135
6,1.0,0.5,-0.12282909380772274,1.0730825148810967
7,1.0,0.5,-0.2560998447757128,1.2859448670927944
8,1.0,0.5,-0.80207793555421,0.982230357933614
9,1.0,0.5,-0.4167171415644214,1.257183360746784
10,1.0,0.5,-0.33607428203611417,1.241312194763489
11,1.0,0.5,-0.4691014311468885,1.4735972149904186
12,1.0,0.5,-0.12424949025757452,1.1076981218811082
13,1.0,0.5,-0.34982265737901186,1.282485110553436
14,1.0,0.5,-0.1836009155729241,1.2977544953343991
15,1.0,0.5,0.31104661325113325,1.5197062397025651
16,1.0,0.5,0.07424419123567938,0.377327788692734
17,1.0,0.5,-0.012356791212175922,1.2233165794969347
18,1.0,0.5,0.29290717193755306,0.9967258091862603
19,1.0,0.5,-0.22674622966979754,0.8878157627950898
20,1.0,0.5,-0.2369105499085396,0.7384028074234321
21,1.0,0.5,-0.40553671191823,1.4637795135823686
22,1.0,0.5,0.10154135934327158,0.1882497756159336
23,1.0,0.5,0.32654476099382956,1.163430391351269
24,1.0,0.5,0.020010254244137604,0.4419333660330419
25,1.0,0.5,0.10346988411030777,0.7004927813272062
26,1.0,0.5,-0.8037186570520852,1.267036677660031
27,1.0,0.5,0.39092728193180565,0.9760349746070281
28,1.0,0.5,-0.26162299806341094,1.2317902245994947
29,1.0,0.5,0.3194517518458964,1.3287619360787202
30,1.0,0.5,0.16841256859887854,1.5918557019032467
31,1.0,0.5,-0.025539217432922923,1.0414331043498275
32,1.0,0.5,-0.18950238207689432,1.7951489580782667
33,1.0,0.5,-0.18967331221394879,1.5246821267382689
34,1.0,0.5,-0.6051333988311408,1.1504255565816848
35,1.0,0.5,0.02616166926742225,1.5119681266586067
36,1.0,0.5,-0.8978087858765278,0.16133735679741024
37,1.0,0.5,-0.2983327778931855,1.133215315962607
38,1.0,0.5,0.12175995476661688,1.4697633138098871
39,1.0,0.5,-0.06261720298528536,1.0063654722850384
40,1.0,0.5,-0.6267660933791641,0.9005014720499549
41,1.0,0.5,-0.6302665677053233,0.7460304004030893
42,1.0,0.5,-0.2737191070897075,1.8408818903407456
43,1.0,0.5,-0.1698552025879739,0.574564826288731
44,1.0,0.5,-0.015176214153117457,0.8602071518676103
45,1.0,0.5,-0.03787758580478709,1.4280746263422035
46,1.0,0.5,-0.5064625721079662,1.0859398244635134
47,1.0,0.5,-0.17886986390968593,1.1147451833433728
48,1.0,0.5,0.1291688352806025,1.7822953783025464
49,1.0,0.5,-0.06838996367230524,0.9632831157735613
50,1.0,0.5,0.39009550994822684,1.2151606782163358
51,1.0,0.5,-0.11511600076806208,0.3480580911747871
52,1.0,0.5,-0.03275174827182395,0.16986097150649415
53,1.0,0.5,0.35168918579618624,1.1341455680010342
54,1.0,0.5,0.08762620320229397,1.3532540484940445
55,1.0,0.5,-0.30010316790570885,0.9289122482159489
56,1.0,0.5,0.05492186589479359,0.9937715837424179
57,1.0,0.5,-0.22484985305625624,1.346980692379684
58,1.0,0.5,-0.42316295513657476,0.516428815496614
59,1.0,0.5,-0.3914981744659021,1.009350952887882
60,1.0,0.5,0.13014578378709946,1.4962888794988347
61,1.0,0.5,-0.12028791604948369,1.0442319679074958
62,1.0,0.5,0.005300967104710286,0.6765169064657592
63,1.0,0.5,-0.06923819991190078,1.2400830914891516
64,1.0,0.5,-0.12060619140921067,1.8108569365161844
65,1.0,0.5,-0.18951873094527893,0.7443751837140669
66,1.0,0.5,-0.060997701620624234,1.3332004388196452
67,1.0,0.5,-0.3594529599948514,1.2777697362667282
68,1.0,0.5,-0.482938059728686,1.0518264287048749
69,1.0,0.5,-0.2875451890905273,0.8047214999004766
70,1.0,0.5,-0.11448045885270916,1.5261993959369133
71,1.0,0.5,-0.28962501199421176,1.698021550479116
72,1.0,0.5,0.2742421702793383,0.8281991902896132
73,1.0,0.5,-0.0350722237316404,1.6885754973265101
74,1.0,0.5,-0.19763537243982196,1.2116787324847844
75,1.0,0.5,-0.3433880312846531,1.5467633703248702
76,1.0,0.5,0.040233626007493306,0.5065203470575746
77,1.0,0.5,-0.4931001845337729,0.9867540760130973
78,1.0,0.5,-0.08733218062024303,1.7518783834765297
79,1.0,0.5,-0.2893094450851142,2.0869118231546264
80,1.0,0.5,-0.1305851328190509,1.0811264947596386
81,1.0,0.5,-0.055200703880477237,1.0271786990681662
82,1.0,0.5,-0.5496383436919334,1.1494034063474954
83,1.0,0.5,-0.6042430494353195,1.2609610172148904
84,1.0,0.5,-0.46110669139709914,1.2020680696216455
85,1.0,0.5,-0.03565268838105112,0.1768110687785155
86,1.0,0.5,-0.1212086467651694,0.9729646924235507
87,1.0,0.5,-0.29156355168627474,1.4093575297712886
88,1.0,0.5,0.30452052647899375,0.31341935939547483
89,1.0,0.5,0.17407582822313808,0.6923119856962631
90,1.0,0.5,0.12623095218476965,0.6752304405830254
91,1.0,0.5,-0.3642373061534947,1.3781956827305555
92,1.0,0.5,0.08394222389228667,0.8522011734717466
93,1.0,0.5,-0.11005750981724013,0.6939602142306609
94,1.0,0.5,-0.34220495058376116,1.2343273350342518
95,1.0,0.5,-0.20167576359494704,0.73884804447069
96,1.0,0.5,-0.46233307251939604,1.24988572426261
97,1.0,0.5,-0.27077202259312855,2.267671810747498
98,1.0,0.5,-0.5133531034748527,0.8890279599258433
99,1.0,0.5,0.11186138029835274,0.638109156842579
100,1.0,0.5,-0.2854461015382207,0.738342584082038
101,1.0,0.5,-0.3947188827645609,1.3935290755281768
102,1.0,0.5,0.0011719999072868081,1.45199259340105
103,1.0,0.5,-0.29498512444924974,1.1073704906052704
104,1.0,0.5,0.06957389896943517,0.9130145002412552
105,1.0,0.5,-0.130895120705299,1.1093001811751355
106,1.0,0.5,-0.5466987425932355,0.2796135384736007
107,1.0,0.5,-0.305278118886151,1.3716413506145848
108,1.0,0.5,-0.4824875633698206,0.6618741478954824
109,1.0,0.5,-0.11396041516888342,1.005883521053264
110,1.0,0.5,0.1895174888081661,1.1502729336988347
111,1.0,0.5,-0.6111722197854896,0.9940657867848234
112,1.0,0.5,-0.2094159514880793,1.5005737640315016
113,1.0,0.5,0.05584573891779471,0.8499595608919795
114,1.0,0.5,-0.7035688530854509,0.4997401290279337
115,1.0,0.5,-0.3549795997049129,0.9622260842018737
116,1.0,0.5,-0.2724377592911152,0.6579891517420557
117,1.0,0.5,0.121439273139166,0.9340995266382455
118,1.0,0.5,-0.09417109272937604,1.6622760683670348
119,1.0,0.5,-0.03844586748968046,0.37369053872590363
120,1.0,0.5,-0.10260154041456329,1.1692007388193024
121,1.0,0.5,-0.28858110348484006,1.0666453556683348
122,1.0,0.5,0.17502885861892997,0.7034890954759103
123,1.0,0.5,-0.31810956551791236,1.370443519794221
124,1.0,0.5,-0.8795007078353873,1.1573476095948854
125,1.0,0.5,-0.678726553153174,1.4764116598936696
126,1.0,0.5,-0.18671107596352748,0.83045919635426
127,1.0,0.5,-0.2824891609918384,0.9205423407531321
128,1.0,0.5,-0.3330162859035635,1.4572853808843114
129,1.0,0.5,-0.23558065047751126,0.8088681269457052
130,1.0,0.5,0.09655267765589692,1.280700657466284
131,1.0,0.5,-0.07041572562877092,1.5734127262648285
132,1.0,0.5,0.028815892003633076,1.4968021402392289
133,1.0,0.5,-0.5075415758051952,0.7733197351625627
134,1.0,0.5,-0.21595686614349635,1.3188692411138176
135,1.0,0.5,0.0029323479557164522,1.6116798318977374
136,1.0,0.5,-0.248967578813895,0.926412447074102
137,1.0,0.5,-0.12299437281545442,0.9019167518961699
138,1.0,0.5,0.024480928047503292,1.447413367248179
139,1.0,0.5,-0.09629102509408213,0.8370045450893753
140,1.0,0.5,0.1963812182419415,1.0198505277054168
141,1.0,0.5,-0.32538812856571864,1.0950001615143186
142,1.0,0.5,-0.46300341496470976,0.8920994159357767
143,1.0,0.5,-0.5751700638543517,1.160222779224291
144,1.0,0.5,-0.06223753158857373,0.8437548256301358
145,1.0,0.5,-0.30027650982661475,1.1868223973865322
146,1.0,0.5,0.18410359830731915,1.8139035686099474
147,1.0,0.5,-0.13560411074522988,0.33613991983210223
148,1.0,0.5,-0.2363276476867011,1.489782205029953
149,1.0,0.5,-0.37127746858082844,1.346778112020321
150,1.0,0.5,0.025026336745792188,1.118564804385786
151,1.0,0.5,-0.22223694770767977,0.9315364576226792
152,1.0,0.5,-0.13639208378807205,1.2656048062352148
153,1.0,0.5,-0.08603906066076042,1.3211242753772372
154,1.0,0.5,-0.17184094780829565,0.321493499971501
